# GOA version used: 2020-10-06
#GO	IC	Frequency
GO:0008460	3.7452188891070337	0.0001797964493211381
GO:1904868	7.304611739799833	4.958933223909259e-08
GO:0090578	8.373154231241813	4.234925441977782e-09
GO:0043757	6.49745001342947	3.180899783520476e-07
GO:1905231	7.941433837387008	1.1443692055175213e-08
GO:0032055	5.555827563788696	2.7808171694075766e-06
GO:1904453	8.117525096442689	7.629128036783474e-09
GO:0031209	5.109754899907811	7.766853260587252e-06
GO:0006183	3.6172405828490235	0.00024141231303195787
GO:0047568	6.757735041403391	1.7468875860317368e-07
GO:0071587	8.41855509210667	3.814564018391737e-09
GO:1904764	6.737313854731083	1.830990728828034e-07
GO:0042220	5.577821857494864	2.643492864745474e-06
GO:0061230	8.41855509210667	3.814564018391737e-09
GO:0008652	1.4331786074319415	0.03688258844809563
GO:1904240	6.987191327947683	1.0299322849657691e-07
GO:0071913	6.867806500469419	1.3557933503529896e-07
GO:0051219	4.6177150646580465	2.411487057195154e-05
GO:0106123	8.373154231241813	4.234925441977782e-09
GO:1905430	7.41855509210667	3.8145640183917376e-08
GO:0031956	4.258684317887287	5.512082157656261e-05
GO:0005019	6.233561825770055	5.840340586135956e-07
GO:0047347	7.542417158945993	2.8680243949774782e-08
GO:0010883	4.900963361394763	1.2561359312563991e-05
GO:0035279	5.52147808889725	3.0096910105110806e-06
GO:0150153	8.41855509210667	3.814564018391737e-09
GO:0043357	8.41855509210667	3.814564018391737e-09
GO:0019608	7.096335797372751	8.010584438622649e-08
GO:0102369	8.583809844104218	2.60729490452498e-09
GO:1903367	6.4891361663923774	3.2423794156329765e-07
GO:0045732	4.055356923090907	8.803250841644451e-05
GO:0097406	8.41855509210667	3.814564018391737e-09
GO:1990649	6.323738456119143	4.745276726235464e-07
GO:0031856	6.654390918389924	2.216200668846233e-07
GO:0060157	6.146713485570172	7.133234714392549e-07
GO:0072548	7.981749852776255	1.042917961809992e-08
GO:0097181	6.6829581512133	2.0751134665691132e-07
GO:0006479	2.852223682075136	0.0014053235300157
GO:1904337	8.41855509210667	3.814564018391737e-09
GO:0004619	3.596850105503604	0.0002530171121249131
GO:0070045	8.373154231241813	4.234925441977782e-09
GO:0005084	8.373154231241813	4.234925441977782e-09
GO:0032758	8.41855509210667	3.814564018391737e-09
GO:0045729	8.41855509210667	3.814564018391737e-09
GO:0033266	8.282779848440237	5.21458980904996e-09
GO:0002468	6.567296743387595	2.7083404530581336e-07
GO:0045930	3.8120017632314336	0.00015416941936732045
